,Compound,Date,Media Source,Negative,Neutral,Positive,Tweets Ago
474,0.0,Mon Jan 08 04:18:00 +0000 2018,New York TImes,1.0,0.0,0.0,75
475,0.4767,Mon Jan 08 04:16:50 +0000 2018,New York TImes,0.763,0.0,0.237,76
476,0.8176,Mon Jan 08 04:11:40 +0000 2018,New York TImes,0.679,0.0,0.321,77
477,0.765,Mon Jan 08 04:07:49 +0000 2018,New York TImes,0.694,0.0,0.306,78
478,0.836,Mon Jan 08 04:06:29 +0000 2018,New York TImes,0.669,0.0,0.331,79
479,0.1531,Mon Jan 08 04:02:02 +0000 2018,New York TImes,0.885,0.0,0.115,80
480,0.4019,Mon Jan 08 07:52:01 +0000 2018,New York TImes,0.891,0.0,0.109,81
481,0.5106,Mon Jan 08 07:37:06 +0000 2018,New York TImes,0.711,0.061,0.228,82
482,0.5719,Mon Jan 08 07:22:06 +0000 2018,New York TImes,0.709,0.0,0.291,83
483,0.5859,Mon Jan 08 07:07:03 +0000 2018,New York TImes,0.84,0.0,0.16,84
484,0.3818,Mon Jan 08 06:52:00 +0000 2018,New York TImes,0.874,0.0,0.126,85
485,0.0,Mon Jan 08 06:37:04 +0000 2018,New York TImes,1.0,0.0,0.0,86
486,-0.0516,Mon Jan 08 06:22:04 +0000 2018,New York TImes,0.84,0.084,0.076,87
487,0.6597,Mon Jan 08 06:07:27 +0000 2018,New York TImes,0.748,0.0,0.252,88
488,0.0,Mon Jan 08 05:50:44 +0000 2018,New York TImes,1.0,0.0,0.0,89
489,0.0,Mon Jan 08 05:35:18 +0000 2018,New York TImes,1.0,0.0,0.0,90
490,-0.2263,Mon Jan 08 05:23:55 +0000 2018,New York TImes,0.894,0.106,0.0,91
491,0.0,Mon Jan 08 05:09:35 +0000 2018,New York TImes,1.0,0.0,0.0,92
492,-0.5837,Mon Jan 08 04:52:06 +0000 2018,New York TImes,0.649,0.351,0.0,93
493,0.0,Mon Jan 08 04:28:03 +0000 2018,New York TImes,1.0,0.0,0.0,94
494,0.0,Mon Jan 08 04:18:00 +0000 2018,New York TImes,1.0,0.0,0.0,95
495,0.4767,Mon Jan 08 04:16:50 +0000 2018,New York TImes,0.763,0.0,0.237,96
496,0.8176,Mon Jan 08 04:11:40 +0000 2018,New York TImes,0.679,0.0,0.321,97
497,0.765,Mon Jan 08 04:07:49 +0000 2018,New York TImes,0.694,0.0,0.306,98
498,0.836,Mon Jan 08 04:06:29 +0000 2018,New York TImes,0.669,0.0,0.331,99
499,0.1531,Mon Jan 08 04:02:02 +0000 2018,New York TImes,0.885,0.0,0.115,100
